ITEM #,CATEGORY,Name,DESCRIPTION,DIMENSIONS   (W x H x L),WS PRICE,MSRP,STRAP LENGTH, COLLECTION ,UPC CODE
0210011,Luggage,Top Flap Rodeo Bag with 3 Outside Compartments,"Top flap rodeo bag with 3 outside zipper pockets. Luggage includes adjustable/detachable shoulder strap.  Snaps hold handles together. Hand-tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",22 x 13 x 11,$222.50,$445.00,N/A,Mahogany Oakleaf,671893014506
0210069,Briefcase,3 Compartment Briefcase with 2 Front Pouches and Laptop Compartment,"3 Compartment Briefcase with two front pouches and Laptop compartment. Inside contains organizing pockets and a padded compartment for safely storing a laptop. Briefcase includes adjustable/detachable shoulder strap. Hand tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",16 x 11.5 x 6,$237.50,$475.00,N/A,Mahogany Oakleaf,671893036683
0210079,Briefcase,Six Compartment Organized Briefcase,"Briefcase with 3 organized inner compartments and 1 back zipper pockets. Two front pouches with snap closure, and 1 zip pocket behind the pouches. Inside has pouches and organizing compartments. Briefcase includes adjustable/detachable shoulder strap. Hand tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",16 x 11 x 5,$194.50,$389.00,N/A,Mahogany Oakleaf,671893014544
0210178,Briefcase,2 Compartment Briefcase with 2 Front Pockets,"Two compartment briefcase with two front pouches and back zipper pocket. Inside has zipper pocket and organizer pouches. Briefcase includes adjustable/detachable shoulder strap. Snap closure on both pockets. Hand-tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",15.5 x 12 x 4,$169.00,$338.00,N/A,Mahogany Oakleaf,671893024970
0210264,Luggage,Dop/Shaving Kit,"Dop/Shaving Kit. Inside has plastic lining and organized compartments. Hand-tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",10 x 6.5 x 4,$49.00,$98.00,N/A,Mahogany Oakleaf,671893030537
0210499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand-tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$17.50,$35.00,N/A,Mahogany Oakleaf,671893027506
0210690,Dayplanner,Dayplanner/Address Book with Insert,"Zip-Around Dayplanner and address book with re-orderable daily planner and tabbed contact organizer. Inside has 6 flap pockets, 1 zipper compartment, 1 large pocket, and pen holder. Hand-tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 10 x 1,$60.00,$120.00,N/A,Mahogany Oakleaf,671893012014
0210736,Luggage,Boot Bag,"Zip-Around Boot bag. Front pouch with snap closure. Individual zip compartment for each boot. Hand tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 17 x 8,$110.00,$220.00,N/A,Mahogany Oakleaf,671893030568
0210739,Luggage,Duffel Bag with 2 Front Pouches,"Single compartment duffel bag with zipper closure. Inside has zipper pocket and pouches. Two front compartments with snap closure. Luggage includes adjustable/detachable shoulder strap.  Hand tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",18 x 13 x 10,$212.50,$425.00,N/A,Mahogany Oakleaf,671893036706
0210910,Briefcase,Laptop Briefcase,"Laptop briefcase. Padded main compartment with straps to hold laptop in place. Inside flap pockets. Back zipper file & flap pocket. Front pocket with inside pouch, sliding clasp closure. Briefcase includes adjustable/detachable shoulder strap. Hand-tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",16 x 12 x 4,$212.50,$425.00,N/A,Mahogany Oakleaf,671893025045
0510106,Men's Wallet,Men's Rodeo Wallet,"Men's rodeo wallet with flap for checkbook. 6 card slots and 3 pockets. Hand tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.5 x 7,$24.50,$49.00,N/A,Men's wallets,671893010546
0510134,Men's Wallet,Men's Trifold Wallet,"Men's tri-fold wallet with 7 card slots, 2 hidden pockets, and 1 bill pocket. Hand-tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3 x 4,$21.00,$42.00,N/A,Men's wallets,671893023416
0515057,Men's Wallet,Men's Rodeo Wallet,"Men's rodeo wallet with flap for checkbook. 6 card slots and 3 pockets. Hand tooled vegetable tanned mahogany leather and printed brown ostrich leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.5 x 7,$24.50,$49.00,N/A,Men's wallets,671893030650
0515065,Men's Wallet,Men's Rodeo Wallet,"Men's rodeo wallet with flap for checkbook. 6 card slots and 3 pockets. Hand tooled vegetable tanned rich brown leather and tumbled brown chrome leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.5 x 7,$23.00,$46.00,N/A,Men's wallets,671893036713
0518565,Men's Wallet,Men's Rodeo Wallet,"Men's rodeo wallet with flap for checkbook. 6 card slots and 3 pockets. Hand tooled vegetable tanned antique brown leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.5 x 7,$24.50,$49.00,N/A,Men's wallets,671893033323
0518595,Men's Wallet,Men's Rodeo Wallet,"Men's rodeo wallet with flap for checkbook. 6 card slots and 3 pockets. Hand tooled vegetable tanned chocolate brown and antique brown leathers. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.5 x 7,$23.00,$46.00,N/A,Men's wallets,671893036720
0519510,Men's Wallet,Men's Rodeo Wallet,"Men's rodeo wallet with flap for checkbook. 6 card slots and 3 pockets. Hand tooled vegetable tanned chocolate brown leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.5 x 7,$23.00,$46.00,N/A,Men's wallets,671893036737
0520210,Men's Wallet,Men's Bifold Wallet,"Men's bi-fold wallet with 6 card slots, removable bi-fold ID holder, 2 hidden pockets and 1 bill pocket. Hand tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4.5 x 3.5,$21.00,$42.00,N/A,Men's wallets,671893033347
0521057,Men's Wallet,Men's Bifold Wallet,"Men's bifold wallet with 6 card slots and removable bifold ID carrier. 2 hidden pockets and 1 bill pocket. Hand tooled vegetable tanned mahogany leather and printed brown ostrich leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4.5 x 3.5,$21.00,$42.00,N/A,Men's wallets,671893030698
0525065,Men's Wallet,Men's Bifold Wallet,"Men's bifold wallet with 6 card slots and removable bifold ID carrier. 2 hidden pockets and 1 bill pocket. Hand tooled vegetable tanned rich brown leather and tumbled brown chrome leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4.5 x 3.5,$21.00,$42.00,N/A,Men's wallets,671893036744
0528565,Men's Wallet,Men's Bifold Wallet,"Men's bifold wallet with 6 card slots and removable bifold ID carrier. 2 hidden pockets and 1 bill pocket. Hand tooled vegetable tanned antique brown leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4.5 x 3.5,$21.00,$42.00,N/A,Men's wallets,671893033361
0528595,Men's Wallet,Men's Bifold Wallet,"Men's bifold wallet with 6 card slots and removable bifold ID carrier. 2 hidden pockets and 1 bill pocket. Hand tooled vegetable tanned chocolate brown and antique brown leathers. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4.5 x 3.5,$21.00,$42.00,N/A,Men's wallets,671893036751
0529510,Men's Wallet,Men's Bifold Wallet,"Men's bifold wallet with 6 card slots and removable bifold ID carrier. 2 hidden pockets and 1 bill pocket. Hand tooled vegetable tanned chocolate brown leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4.5 x 3.5,$21.00,$42.00,N/A,Men's wallets,671893036768
0531057,Men's Wallet,Men's Trifold Wallet,"Men's trifold wallet with 7 card slots, 2 hidden pockets, and 1 bill pocket. Hand tooled vegetable tanned mahogany leather and printed brown ostrich leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3 x 4,$21.00,$42.00,N/A,Men's wallets,671893028275
0535065,Men's Wallet,Men's Trifold Wallet,"Men's trifold wallet with 7 card slots, 2 hidden pockets, and 1 bill pocket. Hand tooled vegetable tanned rich brown leather and tumbled brown chrome leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3 x 4,$21.00,$42.00,N/A,Men's wallets,671893036775
0538565,Men's Wallet,Men's Trifold Wallet,"Men's trifold wallet with 7 card slots, 2 hidden pockets, and 1 bill pocket. Hand tooled vegetable tanned antique brown leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3 x 4,$21.00,$42.00,N/A,Men's wallets,671893033392
0538595,Men's Wallet,Men's Trifold Wallet,"Men's trifold wallet with 7 card slots, 2 hidden pockets, and 1 bill pocket. Hand tooled vegetable tanned chocolate brown and antique brown leathers. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3 x 4,$21.00,$42.00,N/A,Men's wallets,671893036782
