ITEM NUMBER,COLLECTION,NAME,DESCRIPTION,UPC CODE,DIMENSIONS,WS PRICE,MSRP,category
LUOL22260,ONE LOVE,French Wallet,"French wallet, body made of chocolate brown with saddle tan brown trim. Made from the softest synthetic leathers, accented with contrast stitching and brass hardware details. Concho decoration features a sparkling Swarovski crystal.  Colorful matching plaid cotton interior lining. 9 card slots, clear ID slot, cash compartments, back divided zipper coin compartment.",671893039806,4.5 x 3.5 x 1.5,$11.00,$22.00,LADIES' WALLET
LUOL22270,ONE LOVE,Flap Wallet,"Flap wallet, body made of soft chocolate brown with saddle tan brown trim. Made from the softest synthetic leathers, accented with contrast stitching and brass hardware details. Concho decoration features a sparkling Swarovski crystal.  Colorful matching plaid cotton interior lining. Interior zip compartment and two open pouches. 10 card slots, 2 clear ID slots, cash compartments, zipper coin compartment, checkbook compartment. ",671893039813,7.5 x 4 x 1,$11.00,$22.00,LADIES' WALLET
LUOL22427,ONE LOVE,Soft Zip-Top Hobo,"Soft Zip-Top Hobo with front zipper compartment and two side open pockets. Made of the softest chocolate brown synthetic leathers, decorated with contrast stitch designs, brass hardware accents, and tan synthetic leather lacing and tassels. Colorful matching plaid cotton interior lining. Interior zip compartment and two interior pouches. Front zipper pocket. Adjustable shoulder strap: 15-17"" strap length from side to side, 11-12"" drop in center",671893039790,14 x 10 x 4,$29.50,$59.00,HANDBAG
LUOL22779,ONE LOVE,Three Compartment Tote,"Three compartment tote with flap-and-snap closure. Made of the softest chocolate brown synthetic leathers, decorated with contrast stitch designs, brass hardware accents, and tan synthetic leather lacing and tassels. Concho decorations feature a sparkling Swarovski crystal. Colorful matching plaid cotton interior lining. Interior zip compartment and two interior pouches.  Shoulder straps: 24"" strap length from side to side, 12"" drop in center",671893039783,11 x 9 x 3,$29.50,$59.00,HANDBAG
LUOL33260,ONE LOVE,French Wallet,"French wallet, body made of saddle tan brown with chocolate brown trim. Made from the softest synthetic leathers, accented with contrast stitching and brass hardware details. Concho decoration features a sparkling Swarovski crystal.  Colorful matching plaid cotton interior lining. 9 card slots, clear ID slot, cash compartments, back divided zipper coin compartment.",671893039844,4.5 x 3.5 x 1.5,$11.00,$22.00,LADIES' WALLET
LUOL33270,ONE LOVE,Flap Wallet,"Flap wallet, body made of saddle tan brown with chocolate brown trim. Made from the softest synthetic leathers, accented with contrast stitching and brass hardware details. Concho decoration features a sparkling Swarovski crystal.  Colorful matching plaid cotton interior lining. Interior zip compartment and two open pouches. 10 card slots, 2 clear ID slots, cash compartments, zipper coin compartment, checkbook compartment. ",671893039851,7.5 x 4 x 1,$11.00,$22.00,LADIES' WALLET
LUOL33427,ONE LOVE,Soft Zip-Top Hobo,"Soft Zip-Top Hobo with front zipper compartment and two side open pockets. Made of the softest saddle tan synthetic leathers, decorated with contrast stitch designs, brass hardware accents, and chocolate synthetic leather lacing and tassels. Colorful matching plaid cotton interior lining. Interior zip compartment and two interior pouches. Front zipper pocket. Adjustable shoulder strap: 15-17"" strap length from side to side, 11-12"" drop in center",671893039837,14 x 10 x 4,$29.50,$59.00,HANDBAG
LUOL33779,ONE LOVE,Three Compartment Tote,"Three compartment tote with flap-and-snap closure. Made of the softest saddle tan synthetic leathers, decorated with contrast stitch designs, brass hardware accents, and chocolate brown synthetic leather lacing and tassels. Concho decorations feature a sparkling Swarovski crystal. Colorful matching plaid cotton interior lining. Interior zip compartment and two interior pouches.  Shoulder straps: 24"" strap length from side to side, 12"" drop in center",671893039820,11 x 9 x 3,$29.50,$59.00,HANDBAG
LUSU50270,SADDLE UP,Flap Wallet,"Flap wallet made of soft chocolate brown synthetic leather and two-tone embossed  floral synthetic leather trim, accented with contrast stitching. Matching plaid cotton interior lining. Interior zip compartment and two open pouches. 10 card slots, 2 clear ID slots, cash compartments, zipper coin compartment, checkbook compartment. ",671893039875,7.5 x 4 x 1,$10.00,$20.00,LADIES' WALLET
LUSU50589,SADDLE UP,Convertible Zip-Top Tote,"Convertible Zip-Top Tote with 2 side zipper pockets. Made of soft chocolate brown synthetic leather and two-tone embossed  floral synthetic leather trim, accented with contrast stitching. Both the short handles and the long shoulder strap are adjustable, long shoulder strap is removable. Cosmetic case attached to interior is included. Matching plaid cotton interior lining. Interior zip compartment and two interior pouches. Short handles: 7"" - 9.5"" drop in center, Long handle: 18"" - 22"" drop in center ",671893039868,14 x 8.5 x 4.5,$34.50,$69.00,HANDBAG
