"Name","Collection Name","Category","Description","Manufacturer Reference","Sizes","Price","Alt Price","Alt Price 2","Color 1","Color 2","Color 3","Color 4","Color 5","Color 6","Color 7"
"Cattle Baron Drifter",,"Jacket","Bet the ranch, your horse, heck, even your holster, but don’t let go of our newest premium ranch coat...the Cattle Baron Drifter.  Make no mistake about it, this is a cold weather coat featuring a 24 oz. Canadian Melton wool shell that’s water repellant.  Then there’s the insulation; 100 grams of 3M Thinsulate® sandwiched between the shell and premium grade taffeta lining.  Take a minute to examine the workmanship with its six pocket front; two double entry cargo pockets and two 7” slash chest pockets with hidden zippers.  The inside has a 7” zippered security pocket and an elasticized topped cell phone pocket.  Two-way zippered front is covered with a logo snap storm flap.  The cuffs and side riding vents arealso trimmed with Schaefer antique brass logo snaps.  Western yokes are featured on the front and back with the collar trimmed with premium full grain leather.
Made in USA 
",250,"XS, S, M, L, XL, 2XL",220,"2XL 230.00",,"Charcoal w/Black Leather","Lt. Gray w/Palomino Leather","Red w/Palomino Leather","Taupe w/Whiskey Leather",,,
"Bighorn Bomber",,"Jacket","Our Bighorn wool bomber carries a payload of great presence and character.  The leather collar and front/back western yokes are trimmed with buttery soft full grain leather.  The shell is constructed from 24 oz. Canadian Melton wool.  A superior wool because it’s softer, lighter and more supple, while maintaining the traditional look and warmth of wool. The elastic gathered hips provide a classic bomber ride without riding up on you in the saddle.  Special details include spread leather collar, generous hand warmer pockets, inside security pocket and storm flap front trimmed with Schaefer logo brass snaps. Made in USA Body Color stated first, leather trim color stated second",550,"XS, S, M, L, XL, 2XL",160,"2XL 170.00",,"Black w/Whiskey","Chocolate w/Palomino","Heather Gray w/Black","Light Gray w/Palomino","Navy w/Palomino","Red w/Palomino","Taupe w/Whiskey"
"Schaefer Competitor Vest",,"Vest","The going can’t get too tough for The Competitor Vest, a combination of pure Schaefer Ranchwear function and design.  Crafted from substantial 24 oz. Canadian Melton  wool shell with a premium grade 86 pic taffeta lining.  The Melton weave of the wool is so tight; it has a felt-like feel, which is virtually wind-proof.  The high quality full grain leather is used to trim the one piece, spread collar and front/back western yoke piping, durable reinforced stitching throughout, handwarmer pockets, heavy-duty two-way zippered front, storm-flap front trimmed with solid brass Schaefer logo snaps.  The slightly elasticized hip gathers up the sides without a bunched up fit.  Odds are once you claim one; you’ll consider it to be one of the finest vests you’ve ever owned. Made in USA Body Color stated first, leather trim color stated second",715,"XS, S, M, L, XL, 2XL",120,"2XL 130.00",,"Black w/Whiskey","Camel w/Whiskey","Chocolate w/Whiskey","Light Gray w/Palomino","Navy w/Palomino","Red w/Palomino","Taupe w/Whiskey"
"Cattle Baron Vest",,"Vest","The Cattle Baron is a vest that recognizes your stature.  Distinctive frontier-styled lapel front trimmed with five solid brass Schaefer logo buttons.  The shell is built from 24 oz. Canadian Melton wool and hand tailored with a four pocket front and two inside pockets. The hidden elasticized back, creates a classic fitted look. Made in USA  ",805,"S, M, L, XL, *XLT, 2XL, *3XL",100,"XLT, 2XL 110.00","3XL 120.00","Black*","Charcoal*","Chocolate","Gray","Red","Taupe*",
"Stockman Vest",,"Vest","Every now and then a vest comes along that’s so versatile, it becomes your favorite.  The Stockman does just that...designed to be worn proudly as a single layer or as a valued layer of warmth under one of our Drifters.  The shell is constructed from genuine Canadian Melton Wool, 24 ounces strong and lined with premium grade taffeta.  Distinctly western with its hand-tailored full grain leather trim featured on the front pocket welts and western back yoke piping.  The vest has quick release solid brass logo snaps which make for more functional riding.  The cut is full, the armholes are opened up and the back drops to the bottom belt line for warmth and overall comfort and mobility. Made in USA",825,"XS, S, M, L, XL, *XLT, 2XL, *3XL, **3XL Only",100,"XLT, 2XL 110.00","3XL 120.00","Black*","Camel","Charcoal*","Navy**","Red*","Taupe* w/Whiskey trim","Heather Gray* w / Black trim"
"McClure Vest",,"Vest","Just like the early days of the West, the McClure Vest makes a statement of individuality.  You’ll be hard pressed to cover it up because of the rich herringbone weave and flattering tailored fit due to the elasticized back.  The feel and drape of the 100% American made merino wool is unmistakable and it goes on smooth with the heavyweight taffeta lining.  The 18 oz. weight means you get to wear it as much as you want, and all of the necessities can be stowed away in the four pocket front and the two inside pockets.  The detailed front is finished with lapels and five logo brass buttons completes a vest you’ll always be proud to wear. Made in USA",707,"S, M, L, XL, 2XL, 3XL",100,"2XL 110.00","3XL 120.00","Camel Herringbone","Charcoal Herringbone","Chocolate Herringbone",,,,
"McKenzie Vest",,"Vest","The next evolution of western styled vests brings the McKenzie.  A classic Herringbone Tweed which has always been a signature fabric of some of the finest English wool garments ever made.  Constructed of rich 18 oz. 100% merino wool and hand detailed with a four pocket front, and then trimmed with solid brass logo snaps and cowhide leather piping on the bottom pocket welts Premium taffeta lines this vest for a luxurious “go-on” smooth feel.  Use it as a distinctive layer under the Ranch Blazer or turn heads at the poker table wearing it as a stand alone...because it will stand alone. Made in USA",828,"S, M, L, XL, 2XL, 3XL",100,"2XL 110.00 ","3XL 120.00","Charcoal Herringbone","Chocolate Herringbone ","Midnight Navy Tweed",,,,
"Stockman Slicker",,"Jacket","Wherever the trail takes you, our Original Stockman Slicker should be tied right behind the saddle.  This waterproof classic protects you against the elements and provides pure riding function, such as snap up leg straps, gusseted split tail riding vent, dual entry cargo pockets, six pocket front, two inside security pockets, and pass-thru to jeans detail.  Built from 2-ply, high thread count nylon with a special waterproof breathable backing.  It has a heavy duty 2-way zippered/ storm flap front adjustable drawcord waist and corduroy collar. Made in USA",132,"XS, S, M, L, XL, 2XL",180,"2XL 190.00",,"Navy","Yellow",,,,,
"RangeWax Mesquite Jacket",,"Jacket","Our RangeWax Mesquite jacket makes hitting the trail a lot easier.  The tough 10 oz. RangeWax shell keeps you dry, and deluxe utility pocket front allows easy access for the tools of trade while choring around the homestead.  The front of the jacket features six pockets; two on the chest and two pairs of lower cargo pockets.  An inside pocket is also featured for your eyeglasses or tally book.  The front is trimmed with studded, solid brass logo buttons with the official Schaefer logo tooled right in. Made in USA",311,"XS, S, M, L, XL, 2XL",110,"2XL 120.00",,"Oak",,,,,,
"RangeWax Mesquite Vest",,"Vest","You’ve got some feedin’ to do and there’s a slight drizzle out.  It’s nice to have your arms free, a little protection from the elements and easy access pockets...our RangeWax Mesquite Vest provides all of that and more.  Featuring the rarely found six pocket front and inside left chest pocket.  The weather resistant RangeWax shell is put together with double needle tailoring throughout and trimmed with our solid brass Schaefer trademark logo shank buttons. Made in USA",316,"XS, S, M, L, XL, 2XL",80,"2XL 90.00",,"Oak",,,,,,
"RangeWax Drifter",,"Jacket","Working cowboys will come to rely on the Schaefer RangeWax Drifter to protect themselves from the unpredictable elements of rain, wind and snow.  Unlike the common “oilskins” saturated with oil, Schaefer has taken much of the oil out and replaced it with wax.  Water is unable to penetrate it and the noticeable oily feel and smell is displaced.  The natural companion for the cowboy on overcast, chilly days, our 10 oz. RangeWax Drifter is lined with premium grade taffeta and features a  two-way zippered/logo snap storm flap front, two cargo pockets with handwarmer pockets behind them, two zippered chest pockets, two inside security/cell phone pockets, adjustable hook and loop cuff closures, snap out side riding vents and drawstring waist. Made in USA",230,"XS, S, M, L, XL, 2XL",190,"2XL 200.00",,"Oak","Buckskin",,,,,
